timestamp,provider,model,latency_s
"2025-10-27T12:09:45.924552","ollama","gemma3:4b",1.756812
"2025-10-27T12:09:14.110872","ollama","gemma3:4b",1.435529
"2025-10-27T12:08:42.626305","ollama","gemma3:4b",1.474122
"2025-10-27T12:08:11.102851","ollama","gemma3:4b",1.551566
"2025-10-27T12:07:39.501895","ollama","gemma3:4b",1.884717
"2025-10-27T12:07:07.564624","ollama","gemma3:4b",1.757176
"2025-10-27T12:06:35.755026","ollama","gemma3:4b",1.862533
"2025-10-27T12:06:03.836313","ollama","gemma3:4b",1.504932
"2025-10-27T12:05:32.278067","ollama","gemma3:4b",1.730001
"2025-10-27T12:05:00.247014","ollama","gemma3:4b",1.773015
"2025-10-27T12:04:28.420007","ollama","gemma3:4b",1.698490
"2025-10-27T12:03:56.675690","ollama","gemma3:4b",1.555717
"2025-10-27T12:03:25.063451","ollama","gemma3:4b",1.774340
"2025-10-27T12:02:53.234885","ollama","gemma3:4b",1.644916
"2025-10-27T12:02:21.530496","ollama","gemma3:4b",1.859615
"2025-10-27T12:01:49.616099","ollama","gemma3:4b",1.573215
"2025-10-27T12:01:17.989416","ollama","gemma3:4b",1.481154
"2025-10-27T12:00:46.453983","ollama","gemma3:4b",1.511755
"2025-10-27T12:00:14.889367","ollama","gemma3:4b",1.795396
"2025-10-27T11:59:43.037859","ollama","gemma3:4b",1.759990
"2025-10-27T11:59:11.224716","ollama","gemma3:4b",1.603977
"2025-10-27T11:58:39.568771","ollama","gemma3:4b",1.561149
"2025-10-27T11:58:07.954408","ollama","gemma3:4b",1.521026
"2025-10-27T11:57:36.378329","ollama","gemma3:4b",1.792942
"2025-10-27T11:57:04.532435","ollama","gemma3:4b",1.576258
"2025-10-27T11:56:32.905444","ollama","gemma3:4b",1.765159
"2025-10-27T11:56:01.100649","ollama","gemma3:4b",1.507648
"2025-10-27T11:55:29.549553","ollama","gemma3:4b",1.885110
"2025-10-27T11:54:57.610541","ollama","gemma3:4b",1.767999
